salario_inicial_sm_2024,edad,salario_pyg_real,salario_sm_2024_ref,capital_pyg_real,aporte_mensual_pyg_real,anos_experiencia
1,48.0,4486962.808455249,1.5920722901389515,350355926.4635574,987131.8178601549,18.0
1,48.08333333333333,4486962.808455249,1.5920722901389515,353678764.4578412,987131.8178601549,18.08333333333333
1,48.16666666666667,4486962.808455249,1.5920722901389515,357023754.70542026,987131.8178601549,18.16666666666667
1,48.25,4486962.808455249,1.5920722901389515,360391044.88798314,987131.8178601549,18.25
1,48.33333333333333,4486962.808455249,1.5920722901389515,363780783.6717631,987131.8178601549,18.33333333333333
1,48.41666666666667,4486962.808455249,1.5920722901389515,367193120.7141017,987131.8178601549,18.41666666666667
1,48.5,4486962.808455249,1.5920722901389515,370628206.6700558,987131.8178601549,18.5
1,48.58333333333333,4486962.808455249,1.5920722901389515,374086193.1990496,987131.8178601549,18.58333333333333
1,48.66666666666667,4486962.808455249,1.5920722901389515,377567232.97157,987131.8178601549,18.66666666666667
1,48.75,4486962.808455249,1.5920722901389515,381071479.67590725,987131.8178601549,18.75
1,48.83333333333333,4486962.808455249,1.5920722901389515,384599088.0249401,987131.8178601549,18.83333333333333
1,48.91666666666667,4486962.808455249,1.5920722901389515,388150213.76296645,987131.8178601549,18.91666666666667
1,49.0,4531832.436539802,1.607993013040341,391725013.67257965,997003.1360387563,19.0
1,49.08333333333333,4531832.436539802,1.607993013040341,395333516.89976895,997003.1360387563,19.08333333333333
1,49.16666666666667,4531832.436539802,1.607993013040341,398966076.8151395,997003.1360387563,19.16666666666667
1,49.25,4531832.436539802,1.607993013040341,402622853.7966125,997003.1360387563,19.25
1,49.33333333333333,4531832.436539802,1.607993013040341,406304009.29129535,997003.1360387563,19.33333333333333
1,49.41666666666667,4531832.436539802,1.607993013040341,410009705.8226094,997003.1360387563,19.41666666666667
1,49.5,4531832.436539802,1.607993013040341,413740106.99746555,997003.1360387563,19.5
1,49.58333333333333,4531832.436539802,1.607993013040341,417495377.5134874,997003.1360387563,19.58333333333333
1,49.66666666666667,4531832.436539802,1.607993013040341,421275683.1662827,997003.1360387563,19.66666666666667
1,49.75,4531832.436539802,1.607993013040341,425081190.85676336,997003.1360387563,19.75
1,49.83333333333333,4531832.436539802,1.607993013040341,428912068.59851384,997003.1360387563,19.83333333333333
1,49.91666666666667,4531832.436539802,1.607993013040341,432768485.52520937,997003.1360387563,19.91666666666667
1,50.0,5034865.83699572,1.786480237487819,436650611.89808285,1107670.4841390585,20.0
1,50.08333333333333,5034865.83699572,1.786480237487819,440669286.4615425,1107670.4841390585,20.08333333333333
1,50.16666666666667,5034865.83699572,1.786480237487819,444714752.1887585,1107670.4841390585,20.16666666666667
1,50.25,5034865.83699572,1.786480237487819,448787187.6874893,1107670.4841390585,20.25
1,50.33333333333333,5034865.83699572,1.786480237487819,452886772.7562116,1107670.4841390585,20.33333333333333
1,50.41666666666667,5034865.83699572,1.786480237487819,457013688.39205873,1107670.4841390585,20.41666666666667
